			Autor, Herausgeber oder Institution	Jahr ermittelt	Titel	Untertitel	Ort	Zeitschrift/Zeitung	Band	Nummer	Datum	Seiten von–bis	Laufnummer	Schlagwörter
FALSCH	FALSCH	FALSCH		1895	Das Casseler Bürgerbuch (1520 - 1699) : nach dem Originale des Casseler Stadtarchivs		Cassel						13169	"Bürgerbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH		1911	Festschrift Otto Gierke zum siebzigsten Geburtstag dargebracht von Schülern, Freunden und Verehrern		Weimar						8632	
FALSCH	FALSCH	FALSCH	"Aghayev, Mardan; Piirainen, Ilpo Tapani"	2013	Das Stadtrecht von Schweidnitz/?widnica [um 1400]	Edition und sprachlich-historische Untersuchung einer frühneuhochdeutschen Handschrift aus Schlesien	Berlin						12649	"Edition/Regest; Rechtsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Aisch, A.	1907	Drei Urkunden aus dem Jahre 1463 betreffend die Viereichische Heide [aus den liber act. 1452–1463 des Görlitzer Ratsarchives]			NLM (Neues Lausitzisches Magazin)	83			257–264	9554	"15. Jh.; Edition/Regest; Fehde; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Albrecht, Hans	1939	Bürgeraufnahmen in Ronneburg			Ronneburger Heimatblätter		12			13850	"Bürgerbuch; Bürgerlisten; Edition/Regest; Neubürger; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Anders, Heinrich	1939	Deutsche Eintragungen aus dem 15. Jh. in dem ältesten Stadtbuch von Gostyn aus dem 16. Jh		Posen	Deutsche wissenschaftliche Zeitschrift für Polen		36		219–238	6014	"Polen; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Angerbauer, Wolfram	1976	Findbuch des Archivs der Stadt Beilstein	Teil 2: Rechnungen und Bände	Heilbronn		12				11500	"Findmittel; Rechnungsbuch; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	"Arnswaldt, Werner Konstantin von; Burchard, Max"	1937	Das älteste Bürgerbuch der Stadt Hornburg am Fallstein (Kreis Wernigerode) 1492–1621. Mit einer Einführung von Hermann Mitgau		Leipzig		15				8463	"Bürgerbuch; Edition/Regest; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Auer, Franz	1840	Das Stadtrecht von München nach bisher ungedruckten Handschriften mit Rücksicht auf die noch geltenden Rechtssätze und Rechtsinstitute		München						14736	"Edition/Regest; Rechtsbuch; Stadtrecht; Stb - Stadtbuch"
FALSCH	FALSCH	FALSCH	Averdunk, Heinrich	ca. 1890	Duisburger Stadtrechnungen 1349–1401	[Druckfahne im Stadtarchiv Duisburg]	Duisburg						11503	"Edition/Regest; Rechnungsbuch; Stb - Stadtbuch"
WAHR	FALSCH	FALSCH	Barge, Hermann	1905	Andreas Bodenstein von Karlstadt, Bd. 2		Leipzig						13327	Person Karlstadt, Andreas Bodenstein von (1486-1541)
FALSCH	FALSCH	FALSCH	"Baum, Constanze; Stäcker, Thomas"	2015	Grenzen und Möglichkeiten der Digital Humanities				1				13194	
